SL,Ticket No,Client Name,SCR ID,To Address,From Site ID:,To Site ID:,Capacity,Fault Type,Fault Raised By,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,TTOpenBy,TTClosedBy,Outage due to,Restoration Confirm by
89,20170913151199,1 Asia Alliance Communication Limited,16608,Sqaure Hospital. Panthopath,"-Coloasia ODF, Borak Tower",-Sqaure Hospital. Panthopath,,Down-Link-Link,Md. Selinur Rahman,2017-09-13 21:55:44,2017-09-13 21:55:39,,Client End Problem,Client End Problem (Others),2017-09-14 13:30:04,2017-09-14 13:44:29,Shaiduzzaman,Shaiduzzaman,Client End Problem,
90,20170829149059,1 Asia Alliance Communication Limited,11848,"82, MOHAKHALI C/A Mohakhali C/A, Dhaka-1212 Beside Mango building","-ALLIANCE BUILDING, 63/A PRAGATI SARANI, SHAHAJADPUR, BARIDHARA, DHAKA-1213","-82, MOHAKHALI C/A Mohakhali C/A, Dhaka-1212 Beside Mango building",,Down-Link-Link,NOC 1AsiaAlliance,2017-08-29 19:26:25,2017-08-29 19:17:31,,Client End Problem,Client End Problem (Others),2017-08-31 06:52:41,2017-08-31 07:02:37,Shaiduzzaman,Wahidul.ahad,Client End Problem,MSSD
91,20170806144497,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Nazim Uddin Ahmed,2017-08-06 08:36:21,2017-08-06 08:44:21,,Client End Problem,Client End Problem (Others),2017-08-07 10:37:09,2017-08-07 10:45:49,Arman.habib,Wahidul.ahad,Client End Problem,MSSD
92,20170706138114,1 Asia Alliance Communication Limited,13809,"105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College","-Alliance Building,63,Pragati Sharani.(Connected)","-105/1 Agamasi Lane, Dhaka-1000 Opposite of Law College",,Down-Link-Link,Md. Selinur Rahman,2017-07-06 09:25:07,2017-07-06 08:32:00,,Client End Problem,Client End Problem (Others),2017-07-06 10:33:12,2017-07-06 10:46:32,Ehtesham,Ehtesham,Client End Problem,
93,20170531132044,1 Asia Alliance Communication Limited,16608,Sqaure Hospital. Panthopath,"-Coloasia ODF, Borak Tower",-Sqaure Hospital. Panthopath,,High Loss-High Loss-Link,Nazim Uddin Ahmed,2017-05-31 22:38:54,2017-05-31 22:27:28,,Client End Problem,Client End Problem (Others),2017-06-03 03:31:35,2017-06-03 03:39:30,Shaiduzzaman,T.ahmed,Client End Problem,Nazim Uddin Ahme
94,20170531132043,1 Asia Alliance Communication Limited,16608,Sqaure Hospital. Panthopath,"-Coloasia ODF, Borak Tower",-Sqaure Hospital. Panthopath,,Down-Link-Link,Nazim Uddin Ahmed,2017-05-31 22:36:58,2017-05-31 22:27:31,Client,Wrong Complaint,Wrong Complaint,2017-05-31 22:38:04,2017-05-31 22:40:37,Shaiduzzaman,Shaiduzzaman,Client End Problem,
95,20170530131721,1 Asia Alliance Communication Limited,16608,Sqaure Hospital. Panthopath,"-Coloasia ODF, Borak Tower",-Sqaure Hospital. Panthopath,,High Loss-High Loss-Link,Shawon Alam,2017-05-30 15:24:51,2017-05-30 15:14:16,,Client End Problem,Client End Problem (Others),2017-05-31 13:47:31,2017-05-31 13:52:46,Chhanda,Tanzia.nahar,Client End Problem,NOC
96,20170522129767,1 Asia Alliance Communication Limited,16608,Sqaure Hospital. Panthopath,"-Coloasia ODF, Borak Tower",-Sqaure Hospital. Panthopath,,Down-Link-Link,Nazim Uddin Ahmed,2017-05-22 00:57:35,2017-05-22 01:04:38,,Client End Problem,Client End Problem (Others),2017-05-22 01:39:51,2017-05-22 01:46:39,Saikat.roy,Saikat.roy,Client End Problem,Nazim Uddin Ahm
97,20170520129191,1 Asia Alliance Communication Limited,9207,"BAY ESTWOOD (1ST FLOOR), HOUSE: 66B, ROAD: 27, GULSHAN-1, DHAKA","-ALLIANCE BUILDING, 63/A PRAGATI SARANI, SHAHAJADPUR, BARIDHARA, DHAKA-1212","-BAY ESTWOOD (1ST FLOOR), HOUSE: 66B, ROAD: 27, GULSHAN-1, DHAKA",,Down-Link-Link,Partha Pratim Das,2017-05-20 02:00:45,2017-05-20 01:47:59,,U/G Fiber Cut,U/G Fiber Cut,2017-05-20 04:38:18,2017-05-20 04:51:37,Biswajit.kumar,Biswajit.kumar,F@H End Problem,Partha Pratim Da
98,20170520129190,1 Asia Alliance Communication Limited,24758,"BG Tel ODF. House No: 02, Road No: 113/A, Gulshan 2, Dhaka 1212,",-Mango Colocity (F@H ODF),"-BG Tel ODF. House No: 02, Road No: 113/A, Gulshan 2, Dhaka 1212,",,Down-Link-Link,Partha Pratim Das,2017-05-20 01:59:29,2017-05-20 01:47:59,Passive,OH,Core Break,2017-05-20 10:39:14,2017-05-20 08:24:38,Biswajit.kumar,Tanzia.nahar,F@H End Problem,NOC
