Fault Type,System Fault Date & Time,Notification Date & Time,Root Cause(L-1),Root Cause(L-2),Root Cause(L-3),RestorationSystem Date,Restoration Date,Outage due to,Time to Acknowledge,Time to Resolve
Down-Link-Link,2018-10-19 18:05:08,2018-10-19 18:05:06,,Client End Problem,Client End Problem (Fiber Cut),2018-10-21 14:45:21,2018-10-20 01:35:30,Client End Problem,-0.03333333333333333,450.3666666666667
High Loss-High Loss-Link,2018-10-17 11:39:00,2018-10-17 11:39:08,Client,OH,Fiber Loss,2018-10-17 19:07:56,2018-10-17 17:35:56,Client End Problem,0.13333333333333333,356.93333333333334
Down-Link-Link,2018-10-14 15:22:22,2018-10-14 15:22:26,,Client End Problem,Client End Problem (Others),2018-10-15 08:02:38,2018-10-15 08:02:52,Client End Problem,0.06666666666666667,1000.5
Down-Link-Link,2018-09-11 20:55:07,2018-09-11 20:55:02,,Client End Problem,Client End Problem (Fiber Cut),2018-09-12 22:10:23,2018-09-12 22:10:20,Client End Problem,-0.08333333333333333,1515.2166666666667
Down-Link-Link,2018-07-01 15:28:22,2018-07-01 15:00:36,,U/G Fiber Cut,U/G Fiber Cut,2018-07-01 18:14:58,2018-07-01 17:30:24,F@H End Problem,-27.766666666666666,122.03333333333333
Down-Link-Link,2018-06-09 10:26:38,2018-06-09 10:20:03,Client,OH,Fiber Loss,2018-06-10 21:33:34,2018-06-09 20:20:53,Client End Problem,-6.583333333333333,594.25
Down-Link-Link,2018-06-08 16:28:48,2018-06-08 16:28:53,,Client End Problem,Client End Problem (Others),2018-06-08 20:12:26,2018-06-08 17:12:42,Client End Problem,0.08333333333333333,43.9
Down-Link-Link,2018-06-08 11:36:24,2018-06-08 11:29:47,,Client End Problem,Client End Problem (Others),2018-06-08 14:07:32,2018-06-08 13:07:48,Client End Problem,-6.616666666666666,91.4
Down-Link-Link,2018-06-05 13:51:22,2018-06-05 13:51:24,,Core Bend,Core Bend (O/H),2018-06-06 14:06:25,2018-06-05 14:44:36,F@H End Problem,0.03333333333333333,53.233333333333334
Down-Link-Link,2018-06-03 22:55:02,2018-06-03 22:26:15,Client,Others,Not Shared,2018-06-04 21:58:13,2018-06-04 21:58:26,Client End Problem,-28.783333333333335,1383.4
Down-Link-Link,2018-05-27 09:55:25,2018-05-27 09:55:30,,Client End Problem,Client End Problem (Fiber Cut),2018-05-30 11:28:55,2018-05-30 11:29:13,Client End Problem,0.08333333333333333,4413.8
Down-Link-Link,2018-05-26 02:59:10,2018-05-26 02:49:54,,Core Break,Core Break (LDP/BDB),2018-05-26 08:02:23,2018-05-26 05:40:32,F@H End Problem,-9.266666666666667,161.36666666666667
Down-Link-Link,2018-05-15 10:12:05,2018-05-15 09:38:54,,O/H Fiber Cut,O/H Fiber Cut,2018-05-15 18:36:11,2018-05-15 15:31:19,F@H End Problem,-33.18333333333333,319.23333333333335
Down-Link-Link,2018-05-14 16:14:34,2018-05-14 16:07:02,,Power Problem,Power Problem (CO/RO),2018-05-14 18:12:06,2018-05-14 17:36:02,F@H End Problem,-7.533333333333333,81.46666666666667
Down-Link-Link,2018-05-05 10:22:57,2018-05-05 10:22:50,,Client End Problem,Client End Problem (Fiber Cut),2018-05-08 13:05:10,2018-05-06 06:07:06,Client End Problem,-0.11666666666666667,1184.15
Down-Link-Link,2018-04-12 09:50:26,2018-04-12 09:50:09,,O/H Fiber Cut,O/H Fiber Cut,2018-04-12 12:58:33,2018-04-12 12:00:17,F@H End Problem,-0.2833333333333333,129.85
Down-Link-Link,2018-04-07 13:37:10,2018-04-07 12:04:00,,O/H Fiber Cut,O/H Fiber Cut,2018-04-07 17:02:30,2018-04-07 16:28:10,F@H End Problem,-93.16666666666667,171.0
Down-Link-Link,2018-03-28 09:28:57,2018-03-28 09:28:58,,Client End Problem,Client End Problem (Fiber Cut),2018-03-28 21:26:39,2018-03-28 21:27:15,Client End Problem,0.016666666666666666,718.3
Down-Link-Link,2018-03-27 13:25:55,2018-03-27 13:25:56,Client,Others,Not Shared,2018-03-27 16:53:27,2018-03-27 16:53:57,Client End Problem,0.016666666666666666,208.03333333333333
Down-Link-Link,2018-03-14 10:01:28,2018-03-14 09:36:00,,U/G Fiber Cut,U/G Fiber Cut,2018-03-14 22:19:02,2018-03-14 20:19:17,F@H End Problem,-25.466666666666665,617.8166666666667
Fluctuation-Link-Link,2018-03-01 12:46:22,2018-03-01 12:06:07,,U/G Fiber Cut,U/G Fiber Cut,2018-03-01 15:17:00,2018-03-01 13:00:40,F@H End Problem,-40.25,14.3
High Loss-High Loss-Link,2018-01-21 11:51:06,2018-01-21 11:29:40,Client,Others,Not Shared,2018-01-22 08:18:25,2018-01-22 08:18:10,Client End Problem,-21.433333333333334,1227.0666666666666
Down-Link-Link,2018-01-02 15:46:58,2018-01-02 15:48:01,,Client End Problem,Client End Problem (Fiber Cut),2018-01-04 08:40:27,2018-01-04 08:56:05,Client End Problem,1.05,2469.116666666667
Down-Link-Link,2017-12-22 07:43:44,2017-12-22 07:44:47,,U/G Fiber Cut,U/G Fiber Cut,2017-12-22 21:29:54,2017-12-22 21:05:57,F@H End Problem,1.05,802.2166666666667
Down-Link-Link,2017-12-11 08:36:05,2017-12-11 08:27:25,,O/H Fiber Cut,O/H Fiber Cut,2017-12-11 22:25:36,2017-12-11 22:40:19,F@H End Problem,-8.666666666666666,844.2333333333333
Down-Link-Link,2017-11-30 18:51:21,2017-11-30 18:30:36,,O/H Fiber Cut,O/H Fiber Cut,2017-12-01 06:10:34,2017-12-01 01:00:36,F@H End Problem,-20.75,369.25
Down-Link-Link,2017-11-26 14:39:02,2017-11-26 14:31:48,,U/G Fiber Bend,U/G Fiber Bend,2017-11-26 16:33:00,2017-11-26 15:50:33,F@H End Problem,-7.233333333333333,71.51666666666667
Down-Link-Link,2017-11-26 14:34:45,2017-11-26 14:31:40,,U/G Fiber Bend,U/G Fiber Bend,2017-11-26 16:32:22,2017-11-26 15:50:01,F@H End Problem,-3.0833333333333335,75.26666666666667
Down-Link-Link,2017-11-12 20:18:44,2017-11-12 20:00:54,,Client End Problem,Client End Problem (Others),2017-11-12 21:14:07,2017-11-12 21:20:07,Client End Problem,-17.833333333333332,61.38333333333333
Down-Link-Link,2017-11-12 10:55:52,2017-11-12 11:08:44,,U/G Fiber Cut,U/G Fiber Cut,2017-11-12 20:25:15,2017-11-12 20:20:29,F@H End Problem,12.866666666666667,564.6166666666667
Down-Link-Link,2017-11-12 10:54:50,2017-11-12 11:07:14,,U/G Fiber Cut,U/G Fiber Cut,2017-11-12 20:24:24,2017-11-12 20:20:34,F@H End Problem,12.4,565.7333333333333
Down-Link-Link,2017-11-12 09:26:20,2017-11-12 09:39:32,,U/G Fiber Cut,U/G Fiber Cut,2017-11-12 20:23:53,2017-11-12 20:20:59,F@H End Problem,13.2,654.65
Down-Link-Link,2017-10-27 19:41:12,2017-10-27 19:49:31,Client,Others,Not Shared,2017-10-28 22:07:22,2017-10-28 22:19:57,Client End Problem,8.316666666666666,1598.75
Down-Link-Link,2017-10-26 15:28:02,2017-10-26 15:40:13,,Client End Problem,Client End Problem (Others),2017-10-26 22:15:31,2017-10-26 22:28:03,Client End Problem,12.183333333333334,420.01666666666665
Down-Link-Link,2017-10-10 11:56:43,2017-10-10 12:08:22,Passive,Faulty,Patch Cord Faulty - CO,2017-10-11 13:35:12,2017-10-11 12:57:38,F@H End Problem,11.65,1500.9166666666667
Down-Site-GE,2017-10-08 10:40:40,2017-10-08 10:50:22,,Client End Problem,Client End Problem (Others),2017-10-08 10:49:33,2017-10-08 11:01:11,Client End Problem,9.7,20.516666666666666
Down-Link-Link,2017-10-02 09:04:05,2017-10-02 09:15:24,,Client End Problem,Client End Problem (Fiber Cut),2017-10-02 18:24:28,2017-10-02 09:53:46,Client End Problem,11.316666666666666,49.68333333333333
Down-Link-Link,2017-09-19 22:23:07,2017-09-19 22:18:35,,U/G Fiber Cut,U/G Fiber Cut,2017-09-20 05:29:11,2017-09-20 04:30:56,F@H End Problem,-4.533333333333333,367.81666666666666
Down-Link-Link,2017-09-19 14:14:06,2017-09-19 14:19:53,,U/G Fiber Cut,U/G Fiber Cut,2017-09-20 05:27:26,2017-09-20 04:30:48,F@H End Problem,5.783333333333333,856.7
Down-Link-Link,2017-09-16 09:30:18,2017-09-16 09:27:32,,Client End Problem,Client End Problem (Fiber Cut),2017-09-17 09:28:47,2017-09-17 09:39:32,Client End Problem,-2.7666666666666666,1449.2333333333333
Down-Link-Link,2017-09-13 21:55:44,2017-09-13 21:55:39,,Client End Problem,Client End Problem (Others),2017-09-14 13:30:04,2017-09-14 13:44:29,Client End Problem,-0.08333333333333333,948.75
Down-Link-Link,2017-08-29 19:26:25,2017-08-29 19:17:31,,Client End Problem,Client End Problem (Others),2017-08-31 06:52:41,2017-08-31 07:02:37,Client End Problem,-8.9,2136.2
Down-Link-Link,2017-08-06 08:36:21,2017-08-06 08:44:21,,Client End Problem,Client End Problem (Others),2017-08-07 10:37:09,2017-08-07 10:45:49,Client End Problem,8.0,1569.4666666666667
Down-Link-Link,2017-07-06 09:25:07,2017-07-06 08:32:00,,Client End Problem,Client End Problem (Others),2017-07-06 10:33:12,2017-07-06 10:46:32,Client End Problem,-53.11666666666667,81.41666666666667
High Loss-High Loss-Link,2017-05-31 22:38:54,2017-05-31 22:27:28,,Client End Problem,Client End Problem (Others),2017-06-03 03:31:35,2017-06-03 03:39:30,Client End Problem,-11.433333333333334,3180.6
Down-Link-Link,2017-05-31 22:36:58,2017-05-31 22:27:31,Client,Wrong Complaint,Wrong Complaint,2017-05-31 22:38:04,2017-05-31 22:40:37,Client End Problem,-9.45,3.65
High Loss-High Loss-Link,2017-05-30 15:24:51,2017-05-30 15:14:16,,Client End Problem,Client End Problem (Others),2017-05-31 13:47:31,2017-05-31 13:52:46,Client End Problem,-10.583333333333334,1347.9166666666667
Down-Link-Link,2017-05-22 00:57:35,2017-05-22 01:04:38,,Client End Problem,Client End Problem (Others),2017-05-22 01:39:51,2017-05-22 01:46:39,Client End Problem,7.05,49.06666666666667
Down-Link-Link,2017-05-20 02:00:45,2017-05-20 01:47:59,,U/G Fiber Cut,U/G Fiber Cut,2017-05-20 04:38:18,2017-05-20 04:51:37,F@H End Problem,-12.766666666666667,170.86666666666667
Down-Link-Link,2017-05-20 01:59:29,2017-05-20 01:47:59,Passive,OH,Core Break,2017-05-20 10:39:14,2017-05-20 08:24:38,F@H End Problem,-11.5,385.15
Down-Link-Link,2017-05-03 01:50:32,2017-05-03 01:53:40,,Client End Problem,Client End Problem (Others),2017-05-03 09:35:08,2017-05-03 09:28:34,Client End Problem,3.1333333333333333,458.03333333333336
Down-Link-Link,2017-05-02 12:00:21,2017-05-02 11:42:09,,Client End Problem,Client End Problem (Others),2017-05-02 22:13:45,2017-05-02 22:00:13,Client End Problem,-18.2,599.8666666666667
Down-Link-Link,2017-04-20 15:14:38,2017-04-20 15:15:34,,Client End Problem,Client End Problem (Others),2017-04-20 22:45:41,2017-04-20 17:08:44,Client End Problem,0.9333333333333333,114.1
Down-Link-Link,2017-04-15 00:08:17,2017-04-14 23:17:11,,O/H Fiber Cut,O/H Fiber Cut,2017-04-15 08:13:25,2017-04-15 01:30:11,F@H End Problem,-51.1,81.9
Down-Link-Link,2017-04-02 17:59:31,2017-04-02 17:56:46,Passive,Faulty,Fiber Adapter Problem - CO,2017-04-03 00:35:35,2017-04-03 00:01:34,F@H End Problem,-2.75,362.05
Down-Link-Link,2017-04-01 14:02:23,2017-04-01 13:40:57,,Planned Work,Planned Work (F@H),2017-04-01 21:26:59,2017-04-01 21:00:25,F@H End Problem,-21.433333333333334,418.03333333333336
Down-Link-Link,2017-04-01 12:02:58,2017-04-01 11:39:36,,Planned Work,Planned Work (F@H),2017-04-01 21:15:04,2017-04-01 20:30:14,F@H End Problem,-23.366666666666667,507.26666666666665
Down-Link-Link,2017-03-31 19:04:10,2017-03-31 19:02:52,,Client End Problem,Client End Problem (Others),2017-04-02 08:47:27,2017-04-02 08:53:46,Client End Problem,-1.3,2269.6
Down-Link-Link,2017-03-24 17:10:47,2017-03-24 16:44:24,,Client End Problem,Client End Problem (Others),2017-03-26 21:54:36,2017-03-26 21:08:54,Client End Problem,-26.383333333333333,3118.116666666667
Down-Link-Link,2017-03-17 15:03:12,2017-03-17 15:04:54,,Client End Problem (Fiber Cut),Client End Problem (Fiber Cut),2017-03-18 00:38:10,2017-03-17 17:05:37,Client End Problem,1.7,122.41666666666667
Quality Issue-Bandwidth Problem-Bandwidth problem,2017-02-26 11:01:18,2017-02-26 10:52:26,,Client End Problem,Client End Problem (Others),2017-02-27 17:24:23,2017-02-27 17:39:23,Client End Problem,-8.866666666666667,1838.0833333333333
High Loss-High Loss-Link,2017-02-20 11:11:02,2017-02-20 11:04:35,Passive,OH,Core Bend - OF,2017-02-22 03:08:38,2017-02-20 16:30:06,F@H End Problem,-6.45,319.06666666666666
Down-Link-Link,2017-02-14 13:23:40,2017-02-14 13:22:51,Passive,Faulty,Patch Cord Cut - CO,2017-02-19 09:23:10,2017-02-14 13:38:22,F@H End Problem,-0.8166666666666667,14.7
Down-Link-Link,2017-02-09 19:52:52,2017-02-09 19:46:18,,Client End Problem,Client End Problem (Others),2017-02-13 22:31:19,2017-02-12 17:45:29,Client End Problem,-6.566666666666666,4192.616666666667
Down-Link-Link,2017-02-06 02:36:08,2017-02-06 02:32:06,,Client End Problem,Client End Problem (Others),2017-02-06 10:25:57,2017-02-06 10:26:25,Client End Problem,-4.033333333333333,470.28333333333336
Down-Link-Link,2017-02-04 11:12:16,2017-02-04 10:57:48,,Client End Problem,Client End Problem (Others),2017-02-04 11:34:14,2017-02-04 11:19:33,Client End Problem,-14.466666666666667,7.283333333333333
Down-Link-Link,2017-02-03 14:14:22,2017-02-03 13:01:47,,Client End Problem,Client End Problem (Others),2017-02-04 11:07:45,2017-02-04 11:21:06,Client End Problem,-72.58333333333333,1266.7333333333333
